service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,zone_min_weight,zone_max_weight,max_length,max_width,max_height,rate,cost,zone_id,postal_codes,cities,active,currency,weight_unit,dimension_unit,transit_days,domicile,international,included_compensation,package_format_identifier,notes,meta_source_url,meta_effective_date,veryfy price,fuel_energy_surcharge_percentage,green_surcharge_amount,peak_surcharge_amount,peak_surcharge_start_date,peak_surcharge_end_date,signature_surcharge_amount,age_verification_surcharge_amount,id_verification_surcharge_amount,signature_surcharge_letter_amount,signature_surcharge_large_letter_amount,signature_surcharge_parcel_amount,oversized_surcharge_amount_per_kg,oversized_surcharge_threshold_kg,oversized_surcharge_max_weight_kg,oversized_surcharge_rounding,use_royalmail_international_sidecar_rates
royal_mail_first_class_letter,Royal Mail 1st Class (01),BPL1,01,b2c:b2b,Domestic,GB,0.001,100,,,165,240,5,1.8,1.8,gb_domestic,,,True,GBP,G,MM,1,True,False,20.0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,,,,,,2.00,,,,,,,,,,
royal_mail_second_class_letter,Royal Mail 2nd Class (01),BPL2,01,b2c:b2b,Domestic,GB,0.001,100,,,165,240,5,0.91,0.91,gb_domestic,,,True,GBP,G,MM,2,True,False,20.0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,,,,,,2.00,,,,,,,,,,
royal_mail_first_class_signed_letter,Royal Mail 1st Class Signed For (01),BPR1,01,signature:b2c:b2b,Domestic,GB,0.001,100,,,165,240,5,3.8,3.8,gb_domestic,,,True,GBP,G,MM,1,True,False,20.0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,,,,,,,,,,,,,,,,
royal_mail_second_class_signed_letter,Royal Mail 2nd Class Signed For (01),BPR2,01,signature:b2c:b2b,Domestic,GB,0.001,100,,,165,240,5,2.91,2.91,gb_domestic,,,True,GBP,G,MM,2,True,False,20.0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,,,,,,,,,,,,,,,,
royal_mail_international_tracked_heavy_weight_premium,International Tracked Heavy Weight Premium (01 / Y5013288),BYD,01,tracked:b2c:b2b,International,,0.001,20000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,,,,,,
royal_mail_international_tracked_heavy_weight_premium_extra_compensation,International Tracked Heavy Weight Premium Extra Compensation (01 / Y5013288),BYH,01,tracked:b2c:b2b:Insurance,International,,0.001,20000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,,,,,,
royal_mail_24_LargeLetter,Royal Mail 24 (01 / 214655C1),CRL24,01,tracked:b2c:b2b,Domestic,GB,0.001,750,,,250,353,25,2.45,2.45,gb_domestic,,,True,GBP,G,MM,1,True,False,,largeLetter,Account Large Letter 100g from-rate; optional signature add-on applies.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,16,0.05,0.07,2026-11-17,2027-01-09,2.00,,,,,,,,,,
royal_mail_24_Small_Parcel,Royal Mail 24 Small Parcel (01 / 214655C2),CRL24,02,tracked:b2c:b2b,Domestic,GB,0.001,2000,,,350,450,160,5.75,5.75,gb_domestic,,,False,GBP,G,MM,1,True,False,,smallParcel,Account Small Parcel from-rate; optional signature add-on applies.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,16,0.05,0.12,2026-11-17,2027-01-09,2.00,,,,,,,,,,
royal_mail_24_Medium_Parcel,Royal Mail 24 Medium Parcel (01 / 214655C2),CRL24,02,tracked:b2c:b2b,Domestic,GB,0.001,20000,,,460,610,460,16.45,16.45,gb_domestic,,,False,GBP,G,MM,1,True,False,,,Account Medium Parcel from-rate; optional signature add-on applies.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,16,0.05,0.12,2026-11-17,2027-01-09,2.00,,,,,,,,,,
royal_mail_48_LargeLetter,Royal Mail 48 (01 / 214655C1),CRL48,01,tracked:b2c:b2b,Domestic,GB,0.001,750,,,250,353,25,1.75,1.75,gb_domestic,,,False,GBP,G,MM,2,True,False,,largeLetter,Account Large Letter 100g from-rate; optional signature add-on applies.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,16,0.05,0.07,2026-11-17,2027-01-09,2.00,,,,,,,,,,
